timestamp,unix_time,state,gaze_label,looking_at_screen,temperature,distance,loud
2026-03-15 11:54:16.720777,1773575656.720782,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:16.881702,1773575656.8817081,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:17.046488,1773575657.046494,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:17.181623,1773575657.181633,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:17.348024,1773575657.3480299,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:17.514294,1773575657.5142999,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.4,18.6,0
2026-03-15 11:54:17.675907,1773575657.6759129,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:17.814357,1773575657.8143628,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:17.983127,1773575657.983134,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:18.146693,1773575658.146699,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:18.317962,1773575658.317968,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:18.479684,1773575658.479689,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,51.5,0
2026-03-15 11:54:18.619717,1773575658.6197262,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:18.783644,1773575658.783651,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:18.945878,1773575658.945885,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:19.115705,1773575659.115712,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:19.277213,1773575659.277219,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:19.412026,1773575659.412032,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:19.547538,1773575659.547543,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,46.8,0
2026-03-15 11:54:19.685661,1773575659.685667,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:19.847800,1773575659.847806,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:19.985302,1773575659.985308,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:20.144717,1773575660.144722,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:20.280175,1773575660.280181,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
